queue_id,scope,pair_id,event_id,reason,blocking,allowed_next_action
P6-PAIR00450,primary_pair_schema_or_numeric,PAIR00450,GW230927_043729,BASE:BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH|VARIANT:BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH,true,bounded independent adjudication without pair/parameter substitution
P6-PAIR00495,primary_pair_schema_or_numeric,PAIR00495,GW230927_153832,BASE:BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH|VARIANT:BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH,true,bounded independent adjudication without pair/parameter substitution
P6-PAIR00540,primary_pair_schema_or_numeric,PAIR00540,GW230928_215827,BASE:BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH|VARIANT:BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH,true,bounded independent adjudication without pair/parameter substitution
P6-PAIR00583,primary_pair_schema_or_numeric,PAIR00583,GW231001_140220,BASE:BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH|VARIANT:BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH,true,bounded independent adjudication without pair/parameter substitution
P6-PAIR00621,primary_pair_schema_or_numeric,PAIR00621,GW231028_153006,BASE:BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH|VARIANT:BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH,true,bounded independent adjudication without pair/parameter substitution
P6-PAIR00666,primary_pair_schema_or_numeric,PAIR00666,GW231102_071736,BASE:BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH|VARIANT:BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH,true,bounded independent adjudication without pair/parameter substitution
P6-PAIR00711,primary_pair_schema_or_numeric,PAIR00711,GW231108_125142,BASE:BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH|VARIANT:BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH,true,bounded independent adjudication without pair/parameter substitution
P6-PAIR00754,primary_pair_schema_or_numeric,PAIR00754,GW231206_233134,BASE:BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH|VARIANT:BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH,true,bounded independent adjudication without pair/parameter substitution
P6-PAIR00792,primary_pair_schema_or_numeric,PAIR00792,GW231206_233901,BASE:BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH|VARIANT:BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH,true,bounded independent adjudication without pair/parameter substitution
P6-PAIR00837,primary_pair_schema_or_numeric,PAIR00837,GW231213_111417,BASE:BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH|VARIANT:BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH,true,bounded independent adjudication without pair/parameter substitution
P6-PAIR00880,primary_pair_schema_or_numeric,PAIR00880,GW231223_032836,BASE:BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH|VARIANT:BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH,true,bounded independent adjudication without pair/parameter substitution
P6-PAIR00918,primary_pair_schema_or_numeric,PAIR00918,GW231226_101520,BASE:BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH|VARIANT:BASE:CONFIG_AF_MIN_CARDINALITY|VARIANT:CONFIG_AF_MIN_CARDINALITY|PAIR_MODE_RELATION_MISMATCH,true,bounded independent adjudication without pair/parameter substitution
